City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
347,Levelland,US,33.59,-102.38,93.0,27,20,24.16,few clouds
348,Idil,TR,37.34,41.89,75.63,26,0,3.71,clear sky
349,Asyut,EG,27.18,31.18,82.4,42,0,9.17,clear sky
350,Yamada,JP,39.47,141.95,72.66,78,5,5.06,clear sky
351,Melendugno,IT,40.27,18.34,73.4,88,5,8.05,clear sky
352,Hofn,IS,64.25,-15.21,50.74,64,100,19.66,overcast clouds
353,Kuytun,RU,54.34,101.5,55.29,82,98,6.08,overcast clouds
354,Lodwar,KE,3.12,35.6,85.01,43,57,20.36,broken clouds
355,Flinders,AU,-34.58,150.86,54.0,70,0,3.0,clear sky
356,Svetlogorsk,BY,52.63,29.73,64.38,87,100,5.48,overcast clouds
357,Mulleriyawa,LK,6.93,79.93,82.4,78,40,10.29,scattered clouds
358,Peniche,PT,39.36,-9.38,70.0,96,86,3.33,overcast clouds
359,Tartagal,AR,-22.52,-63.8,57.4,35,12,5.28,few clouds
360,Duyure,HN,13.63,-86.82,87.8,52,40,5.82,scattered clouds
361,Sofiyivka,UA,48.05,33.87,72.12,44,92,7.83,overcast clouds
362,Goma,CD,-1.68,29.22,69.89,60,73,1.01,broken clouds
